sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
31.938,['note_on'],[0],[65],[48],pp,0,1,0,0,0,0
32.078,['note_on'],[0],[50],[63],mp,0,1,0,0,"[120, 106, 65, 0]",0
32.18,['note_on'],[0],[53],[54],p,0,1,0,0,"[4, 14, 20, 28, 38]",0
32.311,['note_on'],[0],[57],[49],p,0,1,0,0,"[48, 58, 66, 74, 82, 90, 94, 100, 104, 108, 112, 116, 120, 124, 127]",0
32.412,['note_on'],[0],[60],[50],p,0,1,0,0,0,0
32.592,['note_on'],[0],[65],[62],mp,0,1,0,0,0,0
32.708,['note_on'],[0],[57],[54],p,0,1,0,0,0,0
32.832,['note_on'],[0],[60],[46],pp,0,1,0,0,0,0
32.958,['note_on'],[0],[65],[57],p,0,1,0,0,0,0
33.089,['note_on'],[0],[50],[59],p,0,1,0,0,"[112, 92, 65, 30, 0]",0
33.194,['note_on'],[0],[53],[55],p,0,1,0,0,"[8, 24, 38, 50, 60, 66, 72, 78, 80, 86]",0
33.329,['note_on'],[0],[57],[55],p,0,1,0,0,"[90, 92, 94, 98, 102, 108, 112, 120, 126, 127]",0
33.468,['note_on'],[0],[60],[58],p,0,1,0,0,0,0
33.59,['note_on'],[0],[65],[66],mp,0,1,0,0,0,0
33.7,['note_on'],[0],[57],[50],p,0,1,0,0,0,0
33.808,['note_on'],[0],[60],[55],p,0,1,0,0,0,0
33.92,['note_on'],[0],[65],[66],mp,0,1,0,0,0,0
34.085,['note_on'],[0],[43],[52],p,0,1,0,0,"[124, 106, 0]",0
34.19,['note_on'],[0],[50],[52],p,0,1,0,0,"[4, 20, 38, 50, 58, 65, 70, 76, 80, 82, 86, 88, 90, 92]",0
34.328,['note_on'],[0],[55],[45],pp,0,1,0,0,"[96, 98, 104, 108, 112, 116, 122, 126, 127]",0
34.473,['note_on'],[0],[59],[54],p,0,1,0,0,0,0
34.603,['note_on'],[0],[65],[57],p,0,1,0,0,0,0
34.716,['note_on'],[0],[55],[46],pp,0,1,0,0,0,0
34.844,['note_on'],[0],[59],[53],p,0,1,0,0,0,0
34.949,['note_on'],[0],[65],[54],p,0,1,0,0,"[126, 110, 90]",0
35.08,['note_on'],[0],[43],[57],p,0,1,0,0,"[65, 0]",0
35.232,['note_on'],[0],[50],[62],mp,0,1,0,0,"[8, 28, 46, 60, 74, 84, 92, 100, 106, 110, 114, 116, 118, 120, 124, 126, 127]",0
35.349,['note_on'],[0],[55],[54],p,0,1,0,0,0,0
35.472,['note_on'],[0],[59],[57],p,0,1,0,0,0,0
35.605,['note_on'],[0],[65],[62],mp,0,1,0,0,0,0
35.707,['note_on'],[0],[55],[40],pp,0,1,0,0,0,0
35.824,['note_on'],[0],[59],[55],p,0,1,0,0,0,0
35.938,['note_on'],[0],[65],[57],p,0,1,0,0,0,0
36.091,['note_on'],[0],[48],[55],p,0,1,0,0,"[124, 110, 92, 65, 32, 0]",0
36.193,['note_on'],[0],[52],[49],p,0,1,0,0,"[6, 28, 40, 52, 62, 70, 76, 80, 86, 88, 90, 92]",0
36.293,['note_on'],[0],[55],[45],pp,0,1,0,0,"[94, 96, 98, 100, 104, 108, 114, 118, 122, 126, 127]",0
36.436,['note_on'],[0],[60],[55],p,0,1,0,0,0,0
36.581,['note_on'],[0],[64],[59],p,0,1,0,0,0,0
36.712,['note_on'],[0],[55],[55],p,0,1,0,0,0,0
36.841,['note_on'],[0],[60],[59],p,0,1,0,0,0,0
36.959,['note_on'],[0],[64],[54],p,0,1,0,0,0,0
37.098,['note_on'],[0],[48],[57],p,0,1,0,0,"[114, 64, 0]",0
37.201,['note_on'],[0],[52],[49],p,0,1,0,0,"[8, 26, 42, 54, 65, 74, 80, 90, 94, 100, 104, 108, 114, 118]",0
37.302,['note_on'],[0],[55],[42],pp,0,1,0,0,"[122, 126, 127]",0
37.408,['note_on'],[0],[60],[53],p,0,1,0,0,0,0
37.578,['note_on'],[0],[64],[53],p,0,1,0,0,0,0
37.709,['note_on'],[0],[55],[41],pp,0,1,0,0,0,0
37.847,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
37.97,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
38.126,['note_on'],[0],[48],[57],p,0,1,0,0,"[116, 92, 20, 0]",0
