sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
9.159,['note_on'],[0],[69],[51],p,0,1,0,0,"[66, 68, 72, 74, 78, 82, 86, 90, 96, 98, 100, 104, 108, 112, 114, 118]",0
9.279,['note_on'],[0],[76],[55],p,0,1,0,0,"[120, 122, 126, 127]",0
9.382,['note_on'],[0],[81],[83],mf,1,1,0,0,0,0
9.484,['note_on'],[0],[69],[52],p,0,1,0,0,0,0
9.591,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
9.729,['note_on'],[0],[81],[63],mp,0,1,0,0,0,0
9.861,['note_on'],[0],[60],[58],p,0,1,0,0,"[126, 116, 104, 90, 70, 0]",0
9.97,['note_on'],[0],[62],[58],p,0,1,0,0,"[1, 8, 14, 20, 28, 34, 40, 44]",0
10.071,['note_on'],[0],[66],[50],p,0,1,0,0,"[48, 52, 58, 60, 64, 65, 70, 74, 78, 84, 88, 94, 96, 100, 102, 104]",0
10.192,['note_on'],[0],[69],[42],pp,0,1,0,0,"[108, 110, 112, 116, 118, 120, 122, 124, 126, 127]",0
10.296,['note_on'],[0],[74],[70],mp,0,1,0,0,0,0
10.484,['note_on'],[0],[66],[75],mf,0,1,0,0,0,0
10.598,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
10.72,['note_on'],[0],[74],[65],mp,0,1,0,0,0,0
10.861,['note_on'],[0],[62],[67],mp,0,1,0,0,0,0
10.976,['note_on'],[0],[66],[73],mp,0,1,0,0,0,0
11.105,['note_on'],[0],[69],[50],p,0,1,0,0,0,0
11.22,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
11.323,['note_on'],[0],[78],[80],mf,1,1,0,0,0,0
11.467,['note_on'],[0],[66],[55],p,0,1,0,0,0,0
11.582,['note_on'],[0],[74],[54],p,0,1,0,0,0,0
11.694,['note_on'],[0],[78],[69],mp,0,1,0,0,0,0
11.838,['note_on'],[0],[59],[58],p,0,1,0,0,"[118, 100, 80, 28, 0]",0
11.948,"['note_on', 'note_on']","[0, 0]","[62, 67]","[49, 65]",p,0,2,0,0,"[6, 20, 28, 36, 44, 48, 52, 56, 58, 62, 64, 65, 66, 68]",0
12.056,['note_on'],[0],[74],[63],mp,0,1,0,0,"[70, 72, 74, 76, 80, 82, 84, 88, 94, 96, 100, 104, 108, 112, 118, 120]",0
12.294,['note_on'],[0],[79],[91],f,1,1,0,0,"[126, 127]",0
12.412,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
12.538,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
12.738,"['note_on', 'note_on']","[0, 0]","[79, 59]","[73, 50]",p,0,2,0,0,0,0
12.883,['note_on'],[0],[60],[51],p,0,1,0,0,0,0
12.995,['note_on'],[0],[69],[67],mp,0,1,0,0,0,0
13.101,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
13.218,"['note_on', 'note_on']","[0, 0]","[81, 79]","[43, 45]",pp,0,2,0,0,0,0
13.382,['note_on'],[0],[69],[55],p,0,1,0,0,0,0
13.497,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
13.603,"['note_on', 'note_on']","[0, 0]","[79, 59]","[58, 49]",p,0,2,0,0,"[118, 106, 90, 70]",0
13.761,['note_on'],[0],[60],[42],pp,0,1,0,0,0,0
13.897,['note_on'],[0],[64],[47],pp,0,1,0,0,"[34, 56, 72, 88, 102, 112, 124, 127]",0
14.025,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
14.151,['note_on'],[0],[72],[81],mf,1,1,0,0,0,0
