sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
12.734,['note_on'],[0],[67],[93],f,1,1,0,0,0,0
12.873,['note_on'],[0],[74],[84],mf,1,1,0,0,0,0
13.003,['note_on'],[0],[79],[98],f,1,1,0,0,0,0
13.128,['note_on'],[0],[59],[78],mf,1,1,0,0,"[114, 96, 76, 24, 1, 0]",0
13.235,['note_on'],[0],[62],[78],mf,1,1,0,0,"[8, 28, 60, 74]",0
13.365,['note_on'],[0],[67],[84],mf,1,1,0,0,"[88, 98, 110, 120, 127]",0
13.502,['note_on'],[0],[74],[89],f,1,1,0,0,0,0
13.624,['note_on'],[0],[79],[89],f,1,1,0,0,0,0
13.736,['note_on'],[0],[67],[84],mf,1,1,0,0,0,0
13.868,['note_on'],[0],[74],[76],mf,1,1,0,0,0,0
14.0,['note_on'],[0],[79],[73],mp,0,1,0,0,0,0
14.128,['note_on'],[0],[59],[52],p,0,1,0,0,"[116, 92, 65, 34, 2, 0]",0
14.234,['note_on'],[0],[60],[53],p,0,1,0,0,"[4, 20, 42, 54, 62, 68, 76]",0
14.365,['note_on'],[0],[64],[56],p,0,1,0,0,"[82, 88, 92, 98, 104, 108, 114, 120, 124, 127]",0
14.494,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
14.602,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
14.751,['note_on'],[0],[64],[53],p,0,1,0,0,0,0
14.89,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
15.015,['note_on'],[0],[72],[55],p,0,1,0,0,0,0
15.184,['note_on'],[0],[59],[51],p,0,1,0,0,"[122, 108, 92, 74, 52, 1, 0]",0
15.289,['note_on'],[0],[60],[56],p,0,1,0,0,"[1, 10, 20, 30, 40, 50, 58, 65, 72, 80, 88, 92, 98, 104]",0
15.4,['note_on'],[0],[64],[55],p,0,1,0,0,"[112, 118, 124, 127]",0
15.525,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
15.63,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
15.788,['note_on'],[0],[64],[53],p,0,1,0,0,0,0
15.919,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
16.021,['note_on'],[0],[72],[63],mp,0,1,0,0,"[116, 100]",0
16.157,['note_on'],[0],[57],[57],p,0,1,0,0,"[82, 0]",0
16.259,['note_on'],[0],[60],[53],p,0,1,0,0,"[4, 18, 30, 42, 56, 64, 74, 80, 88, 92, 98, 104]",0
16.367,['note_on'],[0],[64],[57],p,0,1,0,0,"[110, 116, 124, 127]",0
16.506,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
16.643,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
16.756,['note_on'],[0],[64],[56],p,0,1,0,0,0,0
16.883,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
16.994,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
17.121,['note_on'],[0],[57],[52],p,0,1,0,0,"[118, 108, 96, 86, 68, 52, 30, 0]",0
17.225,['note_on'],[0],[60],[52],p,0,1,0,0,"[6, 18, 28, 36, 46]",0
17.342,['note_on'],[0],[64],[60],p,0,1,0,0,"[56, 62, 70, 78, 86, 92, 98, 106, 114, 122, 127]",0
17.497,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
17.626,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
17.749,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
17.865,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
17.983,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
18.114,['note_on'],[0],[50],[67],mp,0,1,0,0,"[124, 104, 84, 60, 32, 2, 0]",0
18.215,['note_on'],[0],[57],[59],p,0,1,0,0,"[2, 14, 28, 38, 50, 58, 65, 72]",0
18.366,['note_on'],[0],[62],[59],p,0,1,0,0,"[80, 86, 92, 98, 106, 112, 120, 126, 127]",0
18.494,['note_on'],[0],[66],[59],p,0,1,0,0,0,0
18.601,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
18.74,['note_on'],[0],[62],[56],p,0,1,0,0,0,0
18.864,['note_on'],[0],[66],[61],p,0,1,0,0,0,0
19.006,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
19.138,['note_on'],[0],[50],[57],p,0,1,0,0,"[110, 92, 44, 20, 0]",0
19.24,['note_on'],[0],[57],[50],p,0,1,0,0,"[1, 14, 28, 36, 50, 58, 65, 72, 78]",0
19.397,['note_on'],[0],[62],[59],p,0,1,0,0,"[86, 92, 98, 106, 114, 122, 127]",0
19.506,['note_on'],[0],[66],[66],mp,0,1,0,0,0,0
19.62,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
19.765,['note_on'],[0],[62],[53],p,0,1,0,0,0,0
19.882,['note_on'],[0],[66],[66],mp,0,1,0,0,0,0
20.005,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
20.124,['note_on'],[0],[55],[60],p,0,1,0,0,"[126, 104, 82, 24, 0]",0
20.225,['note_on'],[0],[59],[48],pp,0,1,0,0,"[18, 30, 42]",0
20.371,['note_on'],[0],[62],[56],p,0,1,0,0,"[56, 64, 72, 80, 88, 92, 98, 108, 116, 124, 127]",0
20.49,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
20.599,['note_on'],[0],[71],[63],mp,0,1,0,0,0,0
20.735,['note_on'],[0],[62],[55],p,0,1,0,0,0,0
20.876,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
20.985,['note_on'],[0],[71],[55],p,0,1,0,0,0,0
21.14,['note_on'],[0],[55],[53],p,0,1,0,0,"[126, 108, 60, 32, 1, 0]",0
21.246,['note_on'],[0],[59],[59],p,0,1,0,0,"[8, 20, 30, 40, 52, 60]",0
21.385,['note_on'],[0],[62],[59],p,0,1,0,0,"[66, 74, 82, 90, 96, 104, 114, 122, 127]",0
21.497,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
21.61,['note_on'],[0],[71],[59],p,0,1,0,0,0,0
21.774,['note_on'],[0],[62],[53],p,0,1,0,0,0,0
21.907,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
22.048,['note_on'],[0],[71],[60],p,0,1,0,0,0,0
22.159,['note_on'],[0],[55],[48],pp,0,1,0,0,"[120, 98, 74, 46, 14, 0]",0
22.266,['note_on'],[0],[58],[51],p,0,1,0,0,"[1, 18, 30, 42, 56, 64, 72]",0
