sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
61.209,['note_on'],[0],[43],[62],mp,0,1,0,0,"[110, 90, 64, 32, 1, 0]",0
61.336,['note_on'],[0],[50],[57],p,0,1,0,0,"[2, 18, 32, 52, 64, 74, 86, 90, 98, 104, 110, 116, 122, 126, 127]",0
61.473,['note_on'],[0],[55],[52],p,0,1,0,0,0,0
61.594,['note_on'],[0],[59],[51],p,0,1,0,0,0,0
61.72,['note_on'],[0],[65],[59],p,0,1,0,0,0,0
61.843,['note_on'],[0],[55],[51],p,0,1,0,0,0,0
61.964,['note_on'],[0],[59],[54],p,0,1,0,0,0,0
62.088,['note_on'],[0],[65],[51],p,0,1,0,0,"[126, 116, 102, 84]",0
62.216,['note_on'],[0],[36],[61],p,0,1,0,0,0,0
62.341,['note_on'],[0],[48],[57],p,0,1,0,0,"[1, 12, 26, 38, 52, 62, 74, 84, 92, 100, 108, 116, 124, 127]",0
62.455,['note_on'],[0],[55],[52],p,0,1,0,0,0,0
62.568,['note_on'],[0],[58],[59],p,0,1,0,0,0,0
62.668,['note_on'],[0],[64],[55],p,0,1,0,0,0,0
62.822,['note_on'],[0],[55],[50],p,0,1,0,0,0,0
62.941,['note_on'],[0],[58],[59],p,0,1,0,0,0,0
63.047,['note_on'],[0],[64],[57],p,0,1,0,0,"[126, 114, 98, 80, 58]",0
63.156,['note_on'],[0],[36],[62],mp,0,1,0,0,0,0
63.289,['note_on'],[0],[48],[54],p,0,1,0,0,"[12, 28, 40, 54, 64, 74, 82, 90, 98, 104, 112, 120, 126, 127]",0
63.396,['note_on'],[0],[55],[54],p,0,1,0,0,0,0
63.54,['note_on'],[0],[58],[48],pp,0,1,0,0,0,0
63.664,['note_on'],[0],[64],[52],p,0,1,0,0,0,0
63.783,['note_on'],[0],[55],[54],p,0,1,0,0,0,0
63.917,['note_on'],[0],[58],[57],p,0,1,0,0,0,0
64.024,['note_on'],[0],[64],[57],p,0,1,0,0,"[124, 110, 94, 52]",0
64.158,['note_on'],[0],[36],[52],p,0,1,0,0,0,0
64.275,['note_on'],[0],[48],[50],p,0,1,0,0,"[6, 18, 30, 46, 58, 68, 80, 88, 94, 102, 110, 118, 124, 127]",0
64.395,['note_on'],[0],[53],[51],p,0,1,0,0,0,0
64.524,['note_on'],[0],[57],[50],p,0,1,0,0,0,0
64.667,['note_on'],[0],[60],[54],p,0,1,0,0,0,0
64.793,"['note_on', 'note_on']","[0, 0]","[65, 67]","[42, 40]",pp,0,2,0,0,0,0
64.92,['note_on'],[0],[60],[63],mp,0,1,0,0,0,0
65.057,['note_on'],[0],[57],[54],p,0,1,0,0,0,0
